run_id,model_id,issue_id,score
2026-03-12_03-04,claude-haiku-4-5,A1,0
2026-03-12_03-04,claude-haiku-4-5,A2,0
2026-03-12_03-04,claude-haiku-4-5,A3,0
2026-03-12_03-04,claude-haiku-4-5,A4,1
2026-03-12_03-04,claude-haiku-4-5,A5,0.5
2026-03-12_03-04,claude-haiku-4-5,A6,0
2026-03-12_03-04,claude-haiku-4-5,A9,0
2026-03-12_03-04,claude-haiku-4-5,A10,1
2026-03-12_03-04,claude-haiku-4-5,A11,0
2026-03-12_03-04,claude-haiku-4-5,B1,0
2026-03-12_03-04,claude-haiku-4-5,B2,0
2026-03-12_03-04,claude-haiku-4-5,B3,0
2026-03-12_03-04,claude-haiku-4-5,B4,0.5
2026-03-12_03-04,claude-haiku-4-5,B5,1
2026-03-12_03-04,claude-haiku-4-5,B6,0
2026-03-12_03-04,claude-haiku-4-5,C1,0
2026-03-12_03-04,claude-haiku-4-5,C2,1
2026-03-12_03-04,claude-haiku-4-5,C3,1
2026-03-12_03-04,claude-haiku-4-5,C4,0
2026-03-12_03-04,claude-haiku-4-5,C5,0
2026-03-12_03-04,claude-haiku-4-5,C6,0
2026-03-12_03-04,claude-haiku-4-5,C7,0
2026-03-12_03-04,claude-haiku-4-5,C8,0
2026-03-12_03-04,claude-haiku-4-5,C9,1
2026-03-12_03-04,claude-haiku-4-5,D1,0
2026-03-12_03-04,claude-haiku-4-5,D2,0
2026-03-12_03-04,claude-haiku-4-5,D3,0
2026-03-12_03-04,claude-haiku-4-5,D4,0
2026-03-12_03-04,claude-haiku-4-5,D5,0
2026-03-12_03-04,claude-haiku-4-5,D6,0.5
2026-03-12_03-04,claude-haiku-4-5,E1,0
2026-03-12_03-04,claude-haiku-4-5,E2,0
2026-03-12_03-04,claude-haiku-4-5,E3,0.5
2026-03-12_03-04,claude-haiku-4-5,E4,1
2026-03-12_03-04,claude-haiku-4-5,E5,0
2026-03-12_03-04,claude-haiku-4-5,E6,0
2026-03-12_03-04,claude-haiku-4-5,E7,0.5
2026-03-12_03-04,claude-haiku-4-5,E8,0
2026-03-12_03-04,claude-haiku-4-5,F1,0
2026-03-12_03-04,claude-haiku-4-5,F2,0
2026-03-12_03-04,claude-haiku-4-5,F3,1
2026-03-12_03-04,claude-haiku-4-5,F4,0
2026-03-12_03-04,claude-haiku-4-5,G1,0
2026-03-12_03-04,claude-haiku-4-5,G2,0
2026-03-12_03-04,claude-haiku-4-5,G3,0
2026-03-12_03-04,claude-haiku-4-5,G4,0
2026-03-12_03-04,claude-haiku-4-5,G5,0
2026-03-12_03-04,claude-haiku-4-5,G6,1
2026-03-12_03-04,claude-haiku-4-5,G7,0
2026-03-12_03-04,claude-haiku-4-5,G8,0
2026-03-12_03-04,claude-haiku-4-5,G9,0.5
2026-03-12_03-04,claude-haiku-4-5,G10,0
2026-03-12_03-04,claude-haiku-4-5,G11,1
2026-03-12_03-04,claude-haiku-4-5,G12,1
2026-03-12_03-04,claude-haiku-4-5,G13,0
2026-03-12_03-04,claude-haiku-4-5,G14,0
2026-03-12_03-04,claude-haiku-4-5,G15,0
2026-03-12_03-04,claude-haiku-4-5,G16,0
2026-03-12_03-04,gemini-3-flash-preview,A1,0
2026-03-12_03-04,gemini-3-flash-preview,A2,0
2026-03-12_03-04,gemini-3-flash-preview,A3,0
2026-03-12_03-04,gemini-3-flash-preview,A4,0
2026-03-12_03-04,gemini-3-flash-preview,A5,0
2026-03-12_03-04,gemini-3-flash-preview,A6,0
2026-03-12_03-04,gemini-3-flash-preview,A9,0
2026-03-12_03-04,gemini-3-flash-preview,A10,0
2026-03-12_03-04,gemini-3-flash-preview,A11,0
2026-03-12_03-04,gemini-3-flash-preview,B1,1
2026-03-12_03-04,gemini-3-flash-preview,B2,0
2026-03-12_03-04,gemini-3-flash-preview,B3,0
2026-03-12_03-04,gemini-3-flash-preview,B4,0
2026-03-12_03-04,gemini-3-flash-preview,B5,0
2026-03-12_03-04,gemini-3-flash-preview,B6,0
2026-03-12_03-04,gemini-3-flash-preview,C1,1
2026-03-12_03-04,gemini-3-flash-preview,C2,1
2026-03-12_03-04,gemini-3-flash-preview,C3,0.5
2026-03-12_03-04,gemini-3-flash-preview,C4,0
2026-03-12_03-04,gemini-3-flash-preview,C5,0
2026-03-12_03-04,gemini-3-flash-preview,C6,0
2026-03-12_03-04,gemini-3-flash-preview,C7,0
2026-03-12_03-04,gemini-3-flash-preview,C8,0
2026-03-12_03-04,gemini-3-flash-preview,C9,0
2026-03-12_03-04,gemini-3-flash-preview,D1,0
2026-03-12_03-04,gemini-3-flash-preview,D2,0
2026-03-12_03-04,gemini-3-flash-preview,D3,0
2026-03-12_03-04,gemini-3-flash-preview,D4,1
2026-03-12_03-04,gemini-3-flash-preview,D5,0.5
