run_id,date,model_id,label,provider,model_version,prompt_version,benchmark_version,temperature,cost_usd,raw,net,pct,flagged,neutral,scorer,scoring_date
2026-03-12_03-04,2026-03-12,claude-haiku-4-5,Claude Haiku 4.5,Anthropic,4.5,v3,v2,,0.24,14.0,14.0,24.1,59,34,Claude Sonnet 4.6,2026-03-14
2026-03-12_03-04,2026-03-12,gemini-3-flash-preview,Gemini 3 Flash,Google,3 Flash Preview,v3,v2,,0.04,9.0,7.0,12.1,24,10,Claude Sonnet 4.6,2026-03-14
2026-03-12_03-04,2026-03-12,gpt-5-mini,GPT-5 Mini,OpenAI,5 Mini,v3,v2,,0.03,8.5,5.5,9.5,40,28,Claude Sonnet 4.6,2026-03-14
2026-03-14_03-48,2026-03-14,claude-opus-4-6,Claude Opus 4.6,Anthropic,claude-opus-4-6,v3,v2,,1.09,22.5,22.5,38.8,48,22,Claude Sonnet 4.6,2026-03-14
2026-03-14_03-48,2026-03-14,claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,claude-sonnet-4-6,v3,v2,,0.74,16.0,14.0,24.1,55,15,Claude Sonnet 4.6,2026-03-14
2026-03-14_03-48,2026-03-14,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,Google,gemini-3.1-pro-preview,v3,v2,,0.27,8.5,4.5,7.8,21,1,Claude Sonnet 4.6,2026-03-14
2026-03-14_13-54,2026-03-14,gpt-5.4-pro,GPT-5.4 Pro,OpenAI,gpt-5.4-pro-2026-03-05,v3,v2,,8.27,23.5,21.5,37.1,60,25,Claude Sonnet 4.6,2026-03-14
2026-03-15_15-24,2026-03-15,grok-4.20-beta-0309-reasoning,Grok 4.20 Beta,xAI,grok-4.20-beta-0309-reasoning,v3,v2,,0.25,7.0,6.0,10.3,28,8,Claude Sonnet 4.6,2026-03-15
2026-03-15_15-32,2026-03-15,gpt-4o,GPT-4o,OpenAI,gpt-4o-2024-08-06,v3,v2,,0.15,2.0,1.0,1.7,15,0,Claude Sonnet 4.6,2026-03-15
2026-03-15_15-36,2026-03-15,claude-sonnet-4-0,Claude Sonnet 4.0,Anthropic,claude-sonnet-4-20250514,v3,v2,,0.44,3.5,2.5,4.3,22,15,Claude Sonnet 4.6,2026-03-15
2026-04-18_23-35,2026-04-18,claude-opus-4-7,Claude Opus 4.7,Anthropic,claude-opus-4-7,v3,v2,,1.12,23.0,20.0,34.5,85,59,Claude Sonnet 4.6,2026-04-18
2026-05-09_03-28,2026-05-09,gpt-5.5,GPT-5.5,OpenAI,gpt-5.5-2026-04-23,v3,v2,,1.28,26.0,24.0,41.4,80,51,Claude Opus 4.7,2026-05-09
2026-05-09_03-58,2026-05-09,gpt-5.5-pro,GPT-5.5 Pro,OpenAI,gpt-5.5-pro-2026-04-23,v3,v2,,8.27,24.0,23.0,39.7,91,69,Claude Opus 4.7,2026-05-09
2026-06-07_21-33,2026-06-07,claude-opus-4-8,Claude Opus 4.8,Anthropic,claude-opus-4-8,v3,v2,,1.39,19.5,19.5,33.6,44,11,Claude Opus 4.8,2026-06-13
2026-06-07_22-02,2026-06-07,claude-opus-4-8,Claude Opus 4.8,Anthropic,claude-opus-4-8,v3,v2,,1.27,24.5,24.5,42.2,44,15,Claude Opus 4.8,2026-06-13
2026-07-02_02-24,2026-07-02,claude-fable-5,Claude Fable 5,Anthropic,claude-fable-5,v3,v2,,3.12,27.0,26.0,44.8,61,19,Claude Opus 4.8,2026-07-02
2026-07-05_16-27,2026-07-05,claude-opus-4-8,Claude Opus 4.8,Anthropic,claude-opus-4-8,v3,v2,1,1.75,26.0,25.0,43.1,50,11,Claude Sonnet 5,2026-07-05
2026-07-05_16-27,2026-07-05,claude-fable-5,Claude Fable 5,Anthropic,claude-fable-5,v3,v2,1,3.51,27.5,26.5,45.7,66,12,Claude Sonnet 5,2026-07-05
2026-07-05_16-37,2026-07-05,claude-fable-5,Claude Fable 5,Anthropic,claude-fable-5,v3,v2,1,3.3,26.5,26.5,45.7,63,15,Claude Sonnet 5,2026-07-05
2026-07-05_17-11,2026-07-05,gpt-5.5,GPT-5.5,OpenAI,gpt-5.5-2026-04-23,v3,v2,,1.96,25.5,21.5,37.1,86,24,Claude Sonnet 5,2026-07-05
2026-07-05_17-11,2026-07-05,gpt-5.5-pro,GPT-5.5 Pro,OpenAI,gpt-5.5-pro-2026-04-23,v3,v2,,15.34,21.5,19.5,33.6,60,15,Claude Sonnet 5,2026-07-05
2026-07-05_17-17,2026-07-05,gpt-5.5,GPT-5.5,OpenAI,gpt-5.5-2026-04-23,v3,v2,,2.29,30.0,29.0,50.0,94,15,Claude Sonnet 5,2026-07-05
2026-07-05_17-45,2026-07-05,gpt-5.5-pro,GPT-5.5 Pro,OpenAI,gpt-5.5-pro-2026-04-23,v3,v2,,13.03,27.5,25.5,44.0,94,16,Claude Sonnet 5,2026-07-05
