id,cat,summary,loc
A1,A,Door 10-1 in schedule; Room 10 has no door on plans,A8.01 vs A2.01A
A2,A,"Door 09-2 width 5'–0"" in schedule; plan shows 4'–0"" opening",A8.01 vs A2.01A
A3,A,Window type 6 count: schedule says 8; only 7 on plans/elevations,A8.01 vs plans
A4,A,Powder Room (14) assigned F-4 carpet — inappropriate for wet room,A8.01
A5,A,Entry Hall east wall WD-1→P-1 in schedule; interior elevations show wood,"A8.01 vs A3.20, A7.01"
A6,A,Door 03-1 METAL in schedule; frame says WOOD; details show wood door,A8.01 vs A4.10
A9,A,Garage (Room 15) assigned F-4 carpet in finish schedule; should be F-5,A8.01 vs A2.00
A10,A,Reading Nook walls assigned WD-1 in schedule; specs require WD-4,A8.01 vs Specs p.6
A11,A,"Interior elevation 5/A7.02 labeled 'Guest Bathroom 19 – South'; Room 19 is the Guest Closet, not the bathroom","A7.02 vs A2.01B, A8.01"
B1,B,"Office length: 11'–6"" on A2.01 vs 11'–5"" on A2.01B",A2.01 vs A2.01B
B2,B,"Crawl space datum 501'–0"" on north elevation; 502'–0"" on all others",A3.02 vs others
B3,B,"E-3 wall total annotated as 8""; layers sum to 8-9/16""",A4.00
B4,B,"Grid D–E: 6'–10.5"" on A2.01; 6'–11.5"" on enlarged plans",A2.01 vs A2.01A/B
B5,B,Stair headroom not dimensioned on either stair section,A3.22
B6,B,"Crawl space elevation annotations (-6', -7', -9') unclear relative to datums",A2.00
C1,C,Windows: specs say Andersen 400 Series; schedule lists Marvin Ultrex,Specs p.3 vs A8.01
C2,C,"Wall insulation: specs say 1"" ZIP R-sheathing; drawings show 1.5"" separate rigid",Specs p.4 vs A4.00
C3,C,WD-3 cladding: specs say South+West facades; elevations show South+East,Specs p.2 vs A3.01–02
C4,C,Hose bibs: specs say 3; elevations show 5 Aquor House Hydrants,Specs p.7 vs A3.01–02
C5,C,Ceiling insulation: specs say R-49; code summary and assembly calculate R-53,"Specs p.4 vs G0.11, A4.01"
C6,C,"Specs imply single 3""/12"" slope; roof plan shows 3"", 2"", and 1/4"" slopes",Specs p.1 vs A2.03
C7,C,E-2 wall assembly drawn with 2×8 studs; specs require 2×6 for all conditioned walls,A4.00 vs Specs p.2
C8,C,SS-3 flagstone: dry-laid patio + wet-laid ramp; specs don't distinguish methods,A2.01A vs Specs p.3
C9,C,Specs call for SS-2 honed limestone in Entry/Laundry/Powder; schedule assigns generic F-2,A8.01 vs Specs p.3
D1,D,Weather barrier label removed from E-3 wall assembly; E-4 retains it,A4.00
D2,D,"E-1 CMU rigid insulation changed from 2"" to 1/2""; far below R-10 requirement",A4.00 vs G0.11
D3,D,Sill flashing (A4.11/2) reversed — laps under WRB instead of over,A4.11 Det.2
D4,D,Second vapor barrier added to exterior of E-1 CMU — double VB traps moisture,A4.00 E-1
D5,D,Rigid insulation inboard of sheathing in E-3/E-4 — condensation risk in CZ 4A,A4.00
D6,D,"Air barrier continuity not detailed at wall-roof, wall-foundation, or penetration transitions","A4.10, A4.11"
E1,E,"Door 14-1 (Powder Room) scheduled at 1'–10"" — below minimum door width",A8.01
E2,E,"South deck section cable railing at 26"" — below 36"" minimum guard height",A5.10
E3,E,Bedroom egress: some sleeping rooms may rely on fixed windows that cannot provide egress,"A8.01, plans"
E4,E,"Garage fire separation not explicitly identified: wall, door rating, ceiling all ambiguous","G0.11, A4.00, A8.01"
E5,E,"Pool barrier cable spacing not detailed (4"" max opening required by code)",A5.01
E6,E,Range hood 650 CFM; makeup air not specified (IRC requires provisions above 400 CFM),Specs p.6
E7,E,"Level 2 above garage: floor assembly F-1 specifies 1/2"" gypsum; Type X required","A3.10, A4.01"
E8,E,Door 16-1 (garage-to-hallway) self-closing hardware not specified per IRC,A8.01
F1,F,"Garage door header: siding extends into Accoya frame, flashing removed — no drainage path",A4.12 Det.3
F2,F,Object/block placed in door swing of door 11-1 in Bathroom 11,A2.01A
F3,F,Hydronic heating in master bath: F-2 tile assembly has no accommodation; bidder-design coordination missing,"A2.01A, A8.01"
F4,F,"Central vacuum: fixtures keynoted but no equipment, piping, or rough-in details",Plans
G1,G,Blank roof assembly tag on Entry Hall area of East Elevation,A3.01
G2,G,"Window tag ""5"" removed from East Elevation — window drawn but untagged",A3.01
G3,G,"Orphaned keynote tag ""13"" on A2.01A — no matching legend entry",A2.01A
G4,G,"Sheet list shows deck sections as ""A5.11""; actual sheet number is A5.20",Cover vs A5.20
G5,G,Plans cross-reference section A3.04 (callouts show A3.10); sheet does not exist,"A2.01–03, index"
G6,G,"Extensive TBDs: lighting L3–L11, all appliances — set too incomplete for reliable bidding","A6.01, A8.01"
G7,G,"""OPENING TBD"" at Level 2 stair landing — undefined on construction documents",A2.01B
G8,G,"Awning roof slope 1/4"":12"" is below typical standing seam manufacturer minimums",A2.03
G9,G,"""Verify in field"" on primary building dimensions affecting setback compliance","A1.01, A2.00"
G10,G,"Floor assembly F-1 lacks product specification: species, thickness, installation method",A4.01
G11,G,"Room Finish Schedule assigns wall type ""T-1"" to Bathroom 11; T-1 undefined in specification",A8.01 vs Specs
G12,G,"Spec references ""Detail 1 on page A8.10"" but no sheet A8.10 exists in the drawing set",Specs vs sheet index
G13,G,Bottom stair deleted from plan A2.01B; still visible in interior elevation 8/A7.01,A2.01B vs A7.01 det.8
G14,G,Roof assembly tag R-2 called out on elevation sheets; R-2 not defined anywhere on A4.01,A3.01 vs A4.01
G15,G,Lighting fixture L7 (LED strip) schedule count is 2; spec and drawings indicate ~75 LF continuous run,"A8.01 vs A6.01, Specs"
G16,G,Wall assembly W-3 (interior insulated) defined on A4.00 but not tagged on any floor plan,"A4.00 vs A2.01B, Specs"
